"date","close","volume","open","high","low"
"2015/12/11","640.1500","5459737.0000","651.2300","657.8800","639.6200"
"2015/12/10","662.3200","3446523.0000","665.5900","668.5260","659.5600"
"2015/12/09","664.7900","5150488.0000","678.0000","679.0000","655.6800"
"2015/12/08","677.3300","3646397.0000","663.1300","679.9900","659.7900"
"2015/12/07","669.8300","3730440.0000","674.7400","675.4600","660.5000"
"2015/12/04","672.6400","4532424.0000","666.0000","674.7750","661.4000"
"2015/12/03","666.2500","5058428.0000","679.4400","682.7900","661.4800"
"2015/12/02","676.0100","4265404.0000","681.0000","684.8200","674.2500"
"2015/12/01","679.0600","4747651.0000","673.7500","681.0000","667.8600"
"2015/11/30","664.8000","5492054.0000","675.9000","681.2900","664.6000"
"2015/11/27","673.2600","1966801.0000","680.8000","680.9900","672.1000"
"2015/11/25","675.3400","2690424.0000","675.0000","679.7000","671.2400"
"2015/11/24","671.1500","4536359.0000","674.1400","675.8000","661.2125"
"2015/11/23","678.9900","4377862.0000","671.5000","682.7700","668.4500"
"2015/11/20","668.4500","3872690.0000","667.9400","668.8700","657.5700"
"2015/11/19","661.2700","4702856.0000","664.9900","672.8600","659.0000"
"2015/11/18","663.5400","4414554.0000","646.5100","664.8800","646.3700"
"2015/11/17","643.3000","4317848.0000","650.6500","653.2500","641.0000"
"2015/11/16","647.8100","7425083.0000","640.9200","649.9900","622.2900"
"2015/11/13","642.3500","6242100.0000","663.5700","667.0000","640.4500"
"2015/11/12","665.6000","4267454.0000","673.0000","675.6400","664.2200"
"2015/11/11","673.2500","5378403.0000","663.2500","675.9600","663.2500"
"2015/11/10","659.6800","3478282.0000","651.0100","660.0000","647.2620"
"2015/11/09","655.4900","4042991.0000","658.6500","661.9550","647.8477"
"2015/11/06","659.3700","4088119.0000","655.0000","662.2600","652.0000"
"2015/11/05","655.6500","4721977.0000","647.1000","657.0000","643.0901"
"2015/11/04","640.9500","4836452.0000","627.7600","645.9300","627.3500"
"2015/11/03","625.3100","3244640.0000","629.5300","629.8900","622.0000"
"2015/11/02","628.3500","2811340.0000","627.1300","628.6300","620.4100"
"2015/10/30","625.9000","3871136.0000","626.0100","630.7200","625.2800"
"2015/10/29","626.5500","3861249.0000","617.7000","627.5400","615.3900"
"2015/10/28","617.1000","3916263.0000","612.3000","617.2300","609.5000"
"2015/10/27","611.0100","3740923.0000","608.6000","614.7100","605.5300"
"2015/10/26","608.6100","4266364.0000","602.3000","609.8500","596.2900"
"2015/10/23","599.0300","10682230.0000","617.6800","619.4500","595.3600"
"2015/10/22","563.9100","7586947.0000","562.7000","569.1460","556.6700"
"2015/10/21","555.7700","3354070.0000","563.8700","565.2500","552.5200"
"2015/10/20","560.8800","4341325.0000","572.0000","573.0000","555.2800"
"2015/10/19","573.1500","4342881.0000","570.7600","579.0000","567.3800"
"2015/10/16","570.7600","4307995.0000","565.2700","570.9400","560.3100"
"2015/10/15","562.4400","4927031.0000","547.7500","563.0000","547.0000"
"2015/10/14","544.8300","3573734.0000","551.3400","552.2500","539.6800"
"2015/10/13","548.9000","2933013.0000","546.2600","553.2000","543.1000"
"2015/10/12","550.1900","2772781.0000","539.9600","550.8200","539.8000"
"2015/10/09","539.8000","3533043.0000","534.4800","541.7900","530.2700"
"2015/10/08","533.1600","4666489.0000","536.7100","539.3860","519.8900"
"2015/10/07","541.9400","3807102.0000","541.7900","542.0000","529.0000"
"2015/10/06","537.4800","4541673.0000","545.5000","551.5000","533.3300"
"2015/10/05","543.6800","3383967.0000","536.9900","545.9100","536.0000"
"2015/10/02","532.5400","4592095.0000","512.9900","532.6000","508.1000"
"2015/10/01","520.7200","3744188.0000","511.0000","520.8000","506.0000"
"2015/09/30","511.8900","3996159.0000","505.4400","512.8000","501.6724"
"2015/09/29","496.0700","4455453.0000","506.0000","511.4800","490.5000"
"2015/09/28","504.0600","5416847.0000","520.0200","520.2800","494.3337"
"2015/09/25","524.2500","3922075.0000","542.5700","542.8000","521.4000"
"2015/09/24","533.7500","3494202.0000","530.5500","534.5600","522.8700"
"2015/09/23","536.0700","2233675.0000","538.3000","541.2100","534.0000"
"2015/09/22","538.4000","3833073.0000","539.7100","543.5500","532.6600"
"2015/09/21","548.3900","3276266.0000","544.3300","549.7800","539.5900"
"2015/09/18","540.2600","6154510.0000","534.6200","546.2370","531.3500"
"2015/09/17","538.8700","4146066.0000","526.9800","546.9700","526.5700"
"2015/09/16","527.3900","2249062.0000","521.9800","528.3000","518.5200"
"2015/09/15","522.3700","2849063.0000","523.2500","527.9200","517.2000"
"2015/09/14","521.3800","3127206.0000","529.4400","532.4500","518.5800"
"2015/09/11","529.4400","3224850.0000","521.0700","529.4400","520.6050"
